date,topic_n,counts
2016-10-06,-1,45348.0
2016-10-06,0,127261.0
2016-10-06,1,30224.0
2016-10-06,2,12270.0
2016-10-06,3,6064.0
2016-10-06,4,2949.0
2016-10-06,5,1712.0
2016-10-06,6,903.0
2016-10-06,7,268.0
2016-10-06,8,71.0
2016-10-07,-1,71624.0
2016-10-07,0,185746.0
2016-10-07,1,72623.0
2016-10-07,2,27890.0
2016-10-07,3,15599.0
2016-10-07,4,8018.0
2016-10-07,5,3728.0
2016-10-07,6,869.0
2016-10-07,7,141.0
2016-10-07,8,42.0
2016-10-08,-1,78611.0
2016-10-08,0,179049.0
2016-10-08,1,58440.0
2016-10-08,2,22407.0
2016-10-08,3,11674.0
2016-10-08,4,6889.0
2016-10-08,5,4447.0
2016-10-08,6,2286.0
2016-10-08,7,1187.0
2016-10-08,8,341.0
2016-10-08,9,69.0
2016-10-09,-1,155851.0
2016-10-09,0,307466.0
2016-10-09,1,106231.0
2016-10-09,2,42631.0
2016-10-09,3,19358.0
2016-10-09,4,8656.0
2016-10-09,5,4397.0
2016-10-09,6,2401.0
2016-10-09,7,1433.0
2016-10-09,8,667.0
2016-10-09,9,213.0
2016-10-09,10,64.0
2016-10-10,-1,94353.0
2016-10-10,0,208849.0
2016-10-10,1,73664.0
2016-10-10,2,27132.0
2016-10-10,3,13824.0
2016-10-10,4,8747.0
2016-10-10,5,6425.0
2016-10-10,6,4641.0
2016-10-10,7,2929.0
2016-10-10,8,1657.0
2016-10-10,9,630.0
2016-10-10,10,222.0
2016-10-10,11,84.0
2016-10-10,12,21.0
